State,District,City,Latitude,Longitude,Population,Year,Murder,Attempt_to_Murder,Kidnapping_Abduction,Rape,Assault,Riots,Theft,Burglary,Robbery,Dacoity,Auto_Theft,Cheating_Fraud,Cyber_Crime,Dowry_Deaths,Domestic_Violence,Drug_Offences,Arms_Act_Offences,Total_Estimated_Crimes
Andaman And Nicobar Islands,Andaman Islands,Diglipur,13.2667,93.0,56597.0,2020,1,0,4,3,10,1,48,30,7,1,20,15,15,0,11,4,2,187
Andaman And Nicobar Islands,Andaman Islands,Port Blair,11.6683,92.7378,140572.0,2020,3,2,8,7,23,6,194,66,20,3,58,45,29,0,33,15,7,517
Andhra Pradesh,Mahbubnagar,Achampet,16.399,78.637,20721.0,2020,0,0,0,0,3,0,34,8,3,0,6,6,5,0,4,1,0,79
Andhra Pradesh,East Godavari,Achchampeta,17.0941,82.3099,8604.0,2020,0,0,0,0,1,0,13,3,1,0,2,1,0,0,1,0,0,25
Andhra Pradesh,Prakasam,Addanki,15.8167,79.9833,43850.0,2020,0,0,2,2,7,0,58,18,7,0,18,7,7,0,10,5,3,163
Andhra Pradesh,Guntur,Adigoppula,16.4402,79.6235,8816.0,2020,0,0,0,0,0,0,8,4,0,0,3,0,1,0,1,0,0,19
Andhra Pradesh,Adilabad,Adilabad,19.67,78.53,117167.0,2020,1,3,6,4,15,3,185,52,15,3,49,22,30,1,28,8,8,445
Andhra Pradesh,Kurnool,Adoni,15.6279,77.2749,166344.0,2020,4,4,10,7,24,8,200,56,21,5,69,39,39,1,33,21,9,560
Andhra Pradesh,Nalgonda,Advi Devalpalli,16.6631,79.5139,10088.0,2020,0,0,0,0,0,0,10,3,0,0,2,1,1,0,1,1,0,21
Andhra Pradesh,West Godavari,Agadallanka,16.7123,81.2732,8870.0,2020,0,0,0,0,0,0,11,3,0,0,1,1,1,0,2,0,0,22
Andhra Pradesh,Krishna,Aginiparru,16.6817,80.7839,13283.0,2020,0,0,0,0,0,0,17,5,1,0,4,1,2,0,1,0,0,42
Andhra Pradesh,Krishna,Agiripalle,16.6833,80.65,16150.0,2020,0,0,0,0,1,0,15,5,2,0,6,3,2,0,2,0,1,36
Andhra Pradesh,West Godavari,Akanavaritota,16.4141,81.6367,19507.0,2020,0,0,0,0,1,0,31,7,3,0,8,6,3,0,3,1,1,72
Andhra Pradesh,West Godavari,Akividu,16.5812,81.3747,24506.0,2020,0,0,1,0,3,1,32,12,3,0,9,6,6,0,2,2,2,92
Andhra Pradesh,West Godavari,Aklvidu,16.6,81.3833,24506.0,2020,0,0,0,0,3,1,21,9,3,0,6,4,4,0,3,2,2,63
Andhra Pradesh,Mahbubnagar,Alampur,15.8793,78.1334,14877.0,2020,0,0,0,0,2,0,23,4,1,0,5,3,2,0,1,1,0,42
Andhra Pradesh,East Godavari,Alamuru,16.7833,81.9,45000.0,2020,0,1,1,2,8,1,61,13,8,1,19,11,10,0,7,5,1,147
Andhra Pradesh,Kurnool,Alasandigutta,15.6244,77.2731,184625.0,2020,2,6,8,9,30,5,153,80,39,5,57,41,35,0,44,22,10,587
Andhra Pradesh,Karimnagar,Alipur,18.8621,78.8754,10813.0,2020,0,0,0,0,0,0,10,2,1,0,4,2,1,0,2,0,0,26
Andhra Pradesh,Kurnool,Allagadda,15.1322,78.5138,34815.0,2020,0,0,2,1,4,0,36,10,4,0,16,9,7,0,7,1,2,100
Andhra Pradesh,Medak,Allahdurg,17.9667,77.9167,11018.0,2020,0,0,0,0,1,0,12,3,1,0,3,1,2,0,1,0,0,29
Andhra Pradesh,Nellore,Allur,14.68,80.06,11656.0,2020,0,0,0,0,1,0,15,3,1,0,2,1,1,0,1,0,0,31
